Canton,Commune,Language,Residents,Population density per km²,0-19 years,20-64 years,65 years or over,Private households,Surface area in km²,Settlement area,Agricultural area,Wooded area,Unproductive area,East coordinate,North coordinate,Elevation
ZH,Schöfflisdorf,de,1376,343.1421446,19.84011628,60.02906977,20.13081395,596,4.01,11.64556962,42.27848101,45.82278481,0.253164557,2673700,1261500,540
ZH,Stadel,de,2289,177.579519,21.49410223,62.1668851,16.33901267,989,12.89,11.41304348,57.3757764,30.35714286,0.854037267,2677500,1264700,439
ZH,Steinmaur,de,3535,376.4643237,20.11315417,62.6874116,17.19943423,1566,9.39,13.72756072,56.38859556,29.25026399,0.633579725,2676600,1261500,484
ZH,Weiach,de,1810,188.9352818,18.89502762,68.2320442,12.87292818,779,9.58,11.88738269,34.51511992,50.15641293,3.441084463,2675200,1267800,425
ZH,Bäretswil,de,5029,226.6336187,21.73394313,58.36150328,19.90455359,2093,22.19,8.603603604,49.54954955,39.32432432,2.522522523,2707200,1243800,816
ZH,Bubikon,de,7334,631.6968131,22.45704936,58.74011454,18.80283611,2976,11.61,21.0163652,60.29285099,12.57536606,6.115417743,2704400,1236300,517
ZH,Dürnten,de,7637,747.260274,21.89341364,61.24132513,16.86526123,3122,10.22,22.62487757,59.25563173,16.6503428,1.469147894,2706200,1237200,536
ZH,Fischenthal,de,2501,82.70502646,23.71051579,60.97560976,15.31387445,973,30.24,4.574080212,32.41630759,61.71693736,1.292674843,2712100,1243400,871
ZH,Gossau (ZH),de,10222,559.8028478,21.24828801,59.95891215,18.79279984,4290,18.26,18.88646288,66.37554585,14.19213974,0.545851528,2699600,1240400,508
ZH,Grüningen,de,3475,395.3356086,20.92086331,61.20863309,17.8705036,1485,8.78,16.34285714,61.71428571,19.65714286,2.285714286,2700200,1237900,506
ZH,Hinwil,de,11138,499.9102334,19.46489495,60.75597055,19.77913449,4899,22.28,19.66771441,51.86349349,26.62775034,1.84104176,2706400,1239800,669
ZH,Rüti (ZH),de,12174,1210.139165,19.30343355,61.51634631,19.18022014,5476,10.06,29.6333003,34.58870168,33.79583746,1.982160555,2707000,1235300,507
ZH,Seegräben,de,1443,382.7586207,20.44352044,63.2016632,16.35481635,601,3.77,16.13756614,48.14814815,16.93121693,18.78306878,2700800,1244300,551
ZH,Wald (ZH),de,9949,393.7079541,20.0422153,62.40828224,17.54950246,4334,25.27,12.93512658,52.84810127,33.2278481,0.988924051,2711700,1237200,776
ZH,Wetzikon (ZH),de,24809,1475.84771,19.77911242,62.82397517,17.39691241,10575,16.81,31.38075314,38.91213389,16.49731022,13.20980275,2702700,1242100,548
ZH,Adliswil,de,18769,2415.572716,19.8945069,61.22329373,18.88219937,8621,7.77,46.01542416,20.95115681,30.97686375,2.05655527,2682200,1240700,507
ZH,Kilchberg (ZH),de,8858,3433.333333,21.37051253,60.76992549,17.85956198,4053,2.58,74.13127413,24.32432432,1.158301158,0.386100386,2683400,1241300,489
ZH,Langnau am Albis,de,7547,870.472895,21.51848417,57.4532927,21.02822314,3241,8.67,25.14417532,25.72087659,47.6355248,1.499423299,2683400,1238100,628
ZH,Oberrieden,de,5083,1821.863799,19.08321857,56.12827071,24.78851072,2290,2.79,43.47826087,11.5942029,42.39130435,2.536231884,2686300,1236800,530
ZH,Richterswil,de,13513,1794.555113,21.66802338,59.30585362,19.02612299,5831,7.53,41.1686587,50.86321381,7.171314741,0.796812749,2696000,1229300,580
ZH,Rüschlikon,de,6035,2059.726962,21.77299089,59.27091964,18.95608948,2514,2.93,59.38566553,17.74744027,22.18430034,0.682593857,2684400,1240400,504
ZH,Thalwil,de,17990,3270.909091,19.86659255,61.07281823,19.06058922,8287,5.5,60.07259528,15.06352087,22.68602541,2.177858439,2685500,1238300,494
ZH,Erlenbach (ZH),de,5618,1943.944637,21.84051264,58.79316483,19.36632253,2395,2.89,54.54545455,20.53872054,24.24242424,0.673400673,2687200,1239800,528
ZH,Herrliberg,de,6391,710.9010011,20.98263183,57.97214833,21.04521984,2713,8.99,23.38530067,52.22717149,23.60801782,0.779510022,2688700,1237700,620
ZH,Hombrechtikon,de,8757,718.9655172,21.3543451,58.66164211,19.98401279,3710,12.18,21.39344262,57.70491803,14.59016393,6.31147541,2700500,1234300,501
ZH,Küsnacht (ZH),de,14397,1164.805825,20.62929777,56.22004584,23.15065639,6428,12.36,33.92857143,34.09090909,31.16883117,0.811688312,2686600,1241300,594
ZH,Männedorf,de,11243,2357.023061,21.03531086,58.42746598,20.53722316,4917,4.77,46.63865546,29.62184874,23.31932773,0.420168067,2695200,1234400,496
ZH,Meilen,de,14220,1190.954774,20.5625879,58.37552743,21.06188467,6204,11.94,29.04040404,45.53872054,23.98989899,1.430976431,2691300,1236100,547
ZH,Oetwil am See,de,4817,788.3797054,21.86007889,63.71185385,14.42806726,2053,6.11,22.82430213,64.5320197,12.15106732,0.492610837,2697000,1236300,535
ZH,Stäfa,de,14497,1687.66007,18.78319652,58.19134993,23.02545354,6563,8.59,38.79210221,41.92799071,18.23461092,1.045296167,2697000,1233000,492
ZH,Uetikon am See,de,6176,1784.971098,20.8873057,59.375,19.7376943,2608,3.46,43.3048433,39.88603989,16.23931624,0.56980057,2693800,1235400,537
ZH,Zumikon,de,5284,964.2335766,21.51778955,53.31188494,25.17032551,2310,5.48,43.6928702,28.51919561,27.42230347,0.365630713,2689700,1242900,652
ZH,Zollikon,de,13012,1657.579618,20.69628036,56.50169075,22.8020289,5888,7.85,41.78343949,20.38216561,37.8343949,0,2685800,1243800,586
ZH,Fehraltorf,de,6435,679.5142555,22.06682207,61.27428127,16.65889666,2697,9.47,19.15789474,52.73684211,26.84210526,1.263157895,2699200,1249400,539
ZH,Hittnau,de,3688,284.7876448,22.55965293,62.22885033,15.21149675,1503,12.95,13.08698999,48.19091609,37.25943033,1.462663587,2704800,1246900,697
ZH,Lindau,de,5617,468.4737281,20.95424604,62.2218266,16.82392736,2289,11.99,22.98657718,41.77852349,34.81543624,0.419463087,2693000,1255300,528
ZH,Pfäffikon,de,11935,611.4241803,19.78215333,60,20.21784667,5269,19.51,17.52947207,42.13223988,23.11635059,17.22193747,2701700,1246900,564
ZH,Russikon,de,4370,307.5299085,21.64759725,58.44393593,19.90846682,1764,14.23,12.33356692,50.2452698,36.08969867,1.331464611,2701000,1250200,652
ZH,Weisslingen,de,3384,264.1686183,21.86761229,58.8356974,19.29669031,1384,12.81,11.51135474,42.75646045,44.47924824,1.25293657,2700000,1254300,626
ZH,Wila,de,1971,214.4722524,19.88838153,61.44089295,18.67072552,866,9.19,9.967497291,37.05308776,49.83748646,3.141928494,2706200,1253100,644
ZH,Wildberg,de,1006,95.17502365,22.56461233,61.1332008,16.30218688,417,10.56,8.658420552,51.5699334,36.25118934,3.520456708,2704000,1253800,668
ZH,Dübendorf,de,28678,2105.580029,19.25517819,65.00802009,15.73680173,13087,13.62,43.17180617,35.53597651,20.26431718,1.027900147,2689300,1250400,441
ZH,Egg,de,8598,591.7412251,20.02791347,58.92067923,21.0514073,3703,14.53,18.74569263,57.13301172,23.15644383,0.964851826,2694700,1239600,542
ZH,Fällanden,de,8672,1359.247649,21.93265683,59.45571956,18.61162362,3778,6.38,32.54716981,36.47798742,27.51572327,3.459119497,2690700,1247300,487
ZH,Greifensee,de,5358,2360.352423,22.02314296,57.09219858,20.88465845,2260,2.27,48.89867841,34.36123348,9.251101322,7.488986784,2693600,1246800,444
ZH,Maur,de,10215,691.6046039,20.58737151,58.62946647,20.78316202,4382,14.77,22.41728562,51.5867657,25.45577313,0.540175557,2693000,1244000,573
ZH,Mönchaltorf,de,3769,496.5744401,21.46457946,56.67285752,21.86256301,1619,7.59,18.65965834,65.57161629,11.30091984,4.467805519,2697000,1240700,446
ZH,Schwerzenbach,de,5115,1952.290076,20.13685239,62.52199413,17.34115347,2250,2.62,41.66666667,37.87878788,6.439393939,14.01515152,2692200,1248800,442
ZH,Uster,de,34722,1218.743419,20.36749035,62.07591729,17.55659236,15313,28.49,28.81712882,40.85644086,26.64092664,3.685503686,2696700,1245000,478
ZH,Volketswil,de,18669,1329.700855,21.98296641,62.02260432,15.99442927,7623,14.04,36.97359029,37.54461099,23.98286938,1.498929336,2694800,1249500,492
ZH,Wangen-Brüttisellen,de,7906,998.2323232,21.31292689,64.45737415,14.22969896,3268,7.92,30.25316456,43.67088608,25.56962025,0.506329114,2691100,1251800,463
ZH,Altikon,de,706,91.68831169,21.52974504,60.76487252,17.70538244,307,7.7,6.225680934,68.09338521,20.10376135,5.577172503,2701000,1270000,380
ZH,Brütten,de,2010,304.5454545,19.55223881,59.75124378,20.69651741,862,6.6,10.22556391,59.84962406,29.77443609,0.15037594,2693100,1258700,601
ZH,Dägerlen,de,1017,127.9245283,23.00884956,62.04523107,14.94591937,389,7.95,7.914572864,66.70854271,25,0.376884422,2696600,1268600,473
ZH,Dättlikon,de,789,273.9583333,24.96831432,58.8086185,16.22306717,312,2.88,10.65292096,42.61168385,43.9862543,2.749140894,2689300,1264300,467
ZH,Dinhard,de,1655,234.0876945,21.81268882,58.54984894,19.63746224,687,7.07,10.60820368,68.59971711,20.08486563,0.707213579,2700000,1268000,451
ZH,Ellikon an der Thur,de,901,179.4820717,22.97447281,60.59933407,16.42619312,355,5.02,12.67605634,67.00201207,19.9195171,0.402414487,2704300,1269000,402
ZH,Elsau,de,3659,453.4076828,22.35583493,59.71576934,17.92839574,1458,8.07,18.90547264,55.84577114,24.62686567,0.621890547,2702700,1262500,524
ZH,Hagenbuch,de,1082,133.0873309,19.22365989,65.24953789,15.52680222,470,8.13,9.81595092,61.22699387,28.46625767,0.490797546,2709200,1264400,553
ZH,Hettlingen,de,3148,533.559322,24.74587039,58.10038119,17.15374841,1216,5.9,17.01030928,58.7628866,23.19587629,1.030927835,2695500,1266900,439
ZH,Neftenbach,de,5679,376.8414068,23.27874626,60.85578447,15.86546927,2310,15.07,15.48172757,53.82059801,29.76744186,0.930232558,2692500,1264900,467
ZH,Pfungen,de,3845,770.5410822,22.65279584,64.08322497,13.26397919,1603,4.99,25.0501002,31.66332665,41.08216433,2.204408818,2690500,1263400,451
ZH,Rickenbach (ZH),de,2704,449.1694352,24.18639053,58.35798817,17.4556213,1098,6.02,15.70247934,59.83471074,23.14049587,1.32231405,2702200,1267700,440
ZH,Schlatt (ZH),de,769,85.73021182,26.91807542,56.56697009,16.51495449,297,8.97,6.526548673,46.57079646,45.57522124,1.327433628,2704700,1258400,669
ZH,Seuzach,de,7342,971.1640212,17.88341051,58.71697085,23.39961863,3259,7.56,31.05263158,43.42105263,25,0.52631579,2697400,1265800,453
ZH,Turbenthal,de,4900,194.2902458,22.71428571,60.67346939,16.6122449,1999,25.22,7.244655582,34.67933492,57.12589074,0.950118765,2706100,1255000,689
ZH,Winterthur,de,111851,1643.176142,19.86213802,63.88946009,16.24840189,50776,68.07,33.58778626,24.82384028,40.44333529,1.145038168,2697200,1261700,481
ZH,Zell (ZH),de,6032,465.073246,21.71750663,60.26193634,18.02055703,2524,12.97,14.02157165,41.21725732,42.44992296,2.311248074,2700800,1257000,569
ZH,Aesch (ZH),de,1555,296.7557252,21.80064309,60.32154341,17.8778135,675,5.24,9.213051823,57.38963532,33.20537428,0.19193858,2675500,1243300,587
ZH,Birmensdorf (ZH),de,6519,570.8406305,20.63199877,59.70240834,19.66559288,2892,11.42,24.60595447,36.86514886,37.30297723,1.22591944,2675500,1245400,534
ZH,Dietikon,de,27265,2919.164882,20.42545388,64.09682743,15.47771869,11971,9.34,50.32327586,16.27155172,26.83189655,6.573275862,2672500,1251000,397
ZH,Geroldswil,de,4958,2568.911917,22.16619605,58.37031061,19.46349334,2106,1.93,47.89473684,20,24.21052632,7.894736842,2673400,1252600,406
ZH,Oberengstringen,de,6600,3069.767442,17.8030303,61.16666667,21.03030303,3009,2.15,50.70422535,20.18779343,24.88262911,4.225352113,2677300,1251400,432
ZH,Oetwil an der Limmat,de,2553,921.6606498,16.60791226,61.96631414,21.4257736,1194,2.77,20.57761733,36.46209386,38.26714801,4.693140794,2672200,1253500,468
ZH,Schlieren,de,18736,2843.095599,19.20900939,67.24487617,13.54611443,8129,6.59,51.52905199,17.73700306,29.20489297,1.529051988,2676200,1250000,406
ZH,Uitikon,de,4344,991.7808219,20.60313076,57.32044199,22.07642726,1823,4.38,30.523918,36.67425968,32.80182232,0,2676600,1247200,591
ZH,Unterengstringen,de,3881,1161.976048,18.88688482,61.06673538,20.0463798,1694,3.34,42.55952381,27.97619048,25.5952381,3.869047619,2676300,1251600,409
ZH,Urdorf,de,9848,1299.208443,20.64378554,59.93095045,19.42526401,4427,7.58,34.5646438,32.05804749,32.32189974,1.055408971,2674400,1248400,458
ZH,Weiningen (ZH),de,4832,899.8137803,20.67466887,63.99006623,15.3352649,1997,5.38,29.02033272,31.79297597,38.26247689,0.924214418,2675200,1252600,445
ZH,Zürich,de,415367,4723.837143,17.38871889,67.68424068,14.92704042,201252,87.93,61.97247185,10.1012399,26.231373,1.694915254,2683100,1247100,457
ZH,Stammheim,,2747,114.6494157,21.40516928,58.28176192,20.3130688,1125,23.96,9.056761269,55.80133556,34.55759599,0.584307179,2702400,1276500,455
ZH,Wädenswil,,24341,682.9685746,19.74035578,59.94412719,20.31551703,10371,35.64,19.33670601,63.26587971,15.06464306,2.33277122,2693400,1231600,641
ZH,Elgg,,4903,201.0250103,20.76279829,60.47317969,18.76402203,2121,24.39,9.545268333,46.90700533,43.13805817,0.409668169,2707700,1260900,598
ZH,Horgen,,22665,735.1605579,20.65740128,60.48091771,18.86168101,9685,30.83,18.4560493,38.85825495,39.50697373,3.178722024,2687800,1234900,624
ZH,Illnau-Effretikon,de,17068,518.6265573,20.07850949,60.3116944,19.60979611,7585,32.91,14.94986326,47.00698876,36.73655424,1.306593741,2694200,1253700,548
ZH,Bauma,de,4965,168.1341009,20.52366566,61.97381672,17.50251762,2081,29.53,7.861741782,36.76719756,54.15113521,1.219925449,2708700,1247300,753
ZH,Wiesendangen,de,6521,340.1669275,21.39242447,58.38061647,20.22695906,2621,19.17,15.99581809,61.00365917,22.84370099,0.156821746,2701700,1264300,501
BE,Aarberg,de,4628,583.6065574,19.79256698,59.72342264,20.48401037,2109,7.93,23.4256927,44.20654912,29.72292191,2.644836272,2587800,1210500,449
BE,Bargen (BE),de,999,127.0992366,20.22022022,60.56056056,19.21921922,413,7.86,7.124681934,70.61068702,18.956743,3.307888041,2586600,1209700,445
BE,Grossaffoltern,de,3018,200.132626,19.71504307,60.70245195,19.58250497,1298,15.08,10.8322325,62.21928666,26.15587847,0.792602378,2594100,1212800,516
BE,Kallnach,de,2222,123.5817575,17.68676868,61.34113411,20.97209721,973,17.98,7.888888889,66.44444444,19.83333333,5.833333333,2584600,1207700,453
BE,Kappelen,de,1419,129.3527803,21.77589852,61.94503171,16.27906977,620,10.97,10.84558824,74.17279412,14.15441176,0.827205882,2587000,1212100,441
BE,Lyss,de,15282,1030.478759,19.21868865,62.34786023,18.43345112,6968,14.83,32.2797579,34.63349025,32.54875588,0.537995965,2590000,1213700,464
BE,Meikirch,de,2461,240.5669599,17.1881349,57.86265746,24.94920764,1052,10.23,9.27734375,64.35546875,26.26953125,0.09765625,2594300,1206500,665
BE,Radelfingen,de,1285,87.35554045,19.14396887,63.89105058,16.96498054,574,14.71,6.730115568,57.71583956,31.40720598,4.146838885,2587400,1207800,553
BE,Rapperswil (BE),de,2618,115.9433127,19.93888464,61.87929717,18.18181818,1114,22.58,8.070953437,64.3902439,27.13968958,0.399113082,2597900,1212500,539
BE,Schüpfen,de,3734,188.2056452,19.71076593,61.86395287,18.4252812,1671,19.84,10.77000503,55.81278309,33.01459487,0.402617011,2595400,1209700,562
